STUDENT_ID,FISCAL_YEAR,RETAINED,SEX_CODE,IPEDS_RACE_CODE,HS_GPA
1,FY23,Y,F,6,2.891745041
2,FY23,N,F,8,3.641641277
3,FY20,Y,F,2,3.784203566
4,FY20,N,F,6,3.645041329
5,FY24,Y,M,4,2.387909454
6,FY24,Y,F,6,2.386901565
7,FY24,Y,M,4,3.433723246
8,FY20,Y,F,9,3.494649625
9,FY22,Y,F,9,3.351303328
10,FY24,N,F,9,3.461042878
11,FY22,N,F,8,2.776979744
12,FY24,Y,F,9,2.809574302
13,FY24,Y,F,4,3.932188452
14,FY20,Y,M,2,3.064541264
15,FY20,N,F,8,3.169110893
16,FY23,Y,F,4,3.535877852
17,FY21,Y,F,7,2.920436671
18,FY20,Y,M,4,3.664360924
19,FY21,Y,F,5,2.820669505
20,FY23,Y,F,1,2.407640205
21,FY24,Y,M,9,3.96271628
22,FY20,N,M,4,2.799427902
23,FY21,Y,M,1,3.747573745
24,FY23,N,F,9,3.695518194
25,FY22,Y,F,4,3.267627049
26,FY21,Y,F,1,2.904856035
27,FY21,N,F,2,3.258998857
28,FY22,Y,M,8,2.891902793
29,FY24,Y,F,4,2.592743022
30,FY20,Y,F,6,3.56561488
31,FY22,Y,M,5,2.618883239
32,FY24,N,M,2,4
33,FY21,N,M,7,3.219481309
34,FY23,N,F,8,1.992899143
35,FY20,Y,F,9,3.565222
36,FY22,Y,F,7,3.444187102
37,FY23,N,F,5,3.311939571
38,FY23,N,M,9,2.824828577
39,FY22,Y,M,2,2.867606274
40,FY23,N,M,4,3.77279646
41,FY21,Y,M,1,3.051081947
42,FY20,Y,F,2,2.780546033
43,FY24,Y,M,7,3.119011036
44,FY23,Y,F,5,3.487439974
45,FY20,N,F,1,3.180244234
46,FY21,Y,M,2,3.645268322
47,FY22,Y,F,9,4
48,FY22,N,M,7,3.55794194
49,FY21,Y,F,5,3.191456574
50,FY23,N,F,1,2.909470686
51,FY23,N,F,6,3.6876929
52,FY21,Y,M,9,2.808002988
53,FY23,Y,M,8,3.225247706
54,FY23,Y,M,3,3.259426257
55,FY21,Y,M,5,2.67209211
56,FY22,Y,F,1,3.009439834
57,FY24,Y,F,2,3.154107903
58,FY20,Y,M,2,3.747041844
59,FY21,Y,M,2,2.919096703
60,FY22,N,F,5,2.394411947
61,FY22,Y,M,5,2.942077516
62,FY21,N,F,9,3.000244966
63,FY22,N,F,3,3.385988991
64,FY23,Y,F,2,2.693873203
65,FY24,Y,F,7,3.209197505
66,FY23,Y,M,6,3.807042189
67,FY21,Y,M,9,2.29161943
68,FY20,Y,F,1,3.488859826
69,FY24,Y,F,7,2.827799725
70,FY21,Y,M,3,2.070356201
71,FY21,N,F,3,2.607366516
72,FY21,N,F,4,3.253296971
73,FY24,Y,M,9,3.380490037
74,FY21,N,M,8,2.969184829
75,FY20,Y,M,8,3.215712777
76,FY20,Y,F,2,1.741715776
77,FY22,N,F,5,3.777767055
78,FY21,Y,F,7,3.113825482
79,FY21,Y,M,6,3.319242245
80,FY21,Y,M,8,2.679454721
81,FY24,Y,M,5,3.239887699
82,FY22,Y,F,3,2.457832551
83,FY22,Y,F,1,3.640134067
84,FY20,Y,M,4,3.151125289
85,FY20,Y,M,3,2.98667219
86,FY22,N,M,8,2.636176173
87,FY21,Y,F,7,3.47125718
88,FY22,Y,F,2,2.77370925
89,FY23,Y,M,1,2.574411407
90,FY22,Y,F,4,3.821289273
91,FY23,Y,F,4,2.506994765
92,FY22,Y,M,8,3.76042754
93,FY22,Y,F,5,2.855138397
94,FY23,Y,F,9,3.026192614
95,FY20,Y,F,7,3.440571282
96,FY24,N,F,4,3.09003335
97,FY20,Y,M,4,2.864863366
98,FY24,Y,M,7,2.970109677
99,FY22,N,F,8,2.868535422
100,FY22,Y,M,1,2.220381047
